sito_pers_1,cognome_nome,twitter_1,sigla_partito,facebook_1,id_deputato
http://www.alessiarotta.it/,ROTTA Alessia,https://twitter.com/alessiarotta,PD,https://www.facebook.com/AlessiaRottaPd/,305650
http://www.maurorotelli.it,ROTELLI Mauro,https://twitter.com/maurorotelli,FDI,https://www.facebook.com/maurorotelli,307455
,ROSTAN Michela,,LEU,https://www.facebook.com/michela.rostan,305859
,ROSSO Roberto,,FI,,307461
,ROSSINI Emanuela,,MISTO,,307710
,ROSSINI Roberto,,M5S,,307179
http://www.cristinarossello.it,ROSSELLO Cristina,,FI,,307678
http://www.andrearossipd.it,ROSSI Andrea,https://twitter.com/andrearossi76,PD,https://www.facebook.com/AndreaRossiPD,307306
,ROSPI Gianluca,https://twitter.com/GianlucaRospi,M5S,https://www.facebook.com/gianlucarospi.M5S/,307163
,ROSATO Ettore,,PD,,300674
http://www.paoloromano.it,ROMANO Paolo Nicolo',,M5S,https://www.facebook.com/PaoloNicoloRomano,306030
http://www.rizzone.it,RIZZONE Marco,,M5S,,307133
,ROMANIELLO Cristian,https://twitter.com/cristian5stelle,M5S,https://www.facebook.com/cristianromaniello5stelle/,307646
,ROMANO Andrea,https://twitter.com/andrearomano9,PD,,306181
http://www.lucarizzonervo.com/,RIZZO NERVO Luca,https://twitter.com/lucarizzonervo,PD,https://www.facebook.com/lucarizzonervo.pd/,307322
http://www.gianlucarizzo.com,RIZZO Gianluca,https://twitter.com/gianlucarizzo46,M5S,https://www.facebook.com/gianluca.rizzo.m5s,306088
,RIZZETTO Walter,https://twitter.com/w_rizzetto,FDI,,305688
,RIXI Edoardo,,LEGA,,304521
,RIPANI Elisabetta,,FI,,307268
,RICCIARDI Riccardo,,M5S,,307250
http://albertoribolla.com,RIBOLLA Alberto,,LEGA,,307628
,RAVETTO Laura,,FI,,301459
http://www.erikpretto.it/,PRETTO Erik Umberto,,LEGA,https://www.facebook.com/erik.pretto.official,307585
,RAFFAELLI Elena,,LEGA,https://www.facebook.com/elenaraffaelli,307288
http://www.rampelli.it,RAMPELLI Fabio,https://twitter.com/fabiorampelli,FDI,https://www.facebook.com/fabiorampelli.paginaufficiale/,301436
,RAFFA Angela,,M5S,https://www.facebook.com/angelaraffam5s,307406
,RADUZZI Raphael,,M5S,,307593
,RACITI Fausto,,PD,,306101
,RACCHELLA Germano,,LEGA,,307572
,PRESTIGIACOMO Stefania,,FI,,38350
,PRESTIPINO Patrizia,,PD,,307430
,POTENTI Manfredi,,LEGA,https://www.facebook.com/manfredi.potenti,307270
http://www.claudiaporchietto.it/,PORCHIETTO Claudia,https://twitter.com/claudiaporchiet,FI,https://www.facebook.com/paginaclaudiaporchietto/,307474
,PORTAS Giacomo,,PD,,302782
http://www.catiapolidori.it,POLIDORI Catia,,FI,,302968
http://www.renatapolverini.it,POLVERINI Renata,,FI,,305761
,POLLASTRINI Barbara,,PD,https://www.facebook.com/barbara.pollastrini.7,34180
,PLANGGER Albrecht,,MISTO,,305578
,PIZZETTI Luciano,,PD,,302759
,PITTALIS Pietro,,FI,https://www.facebook.com/Pietro-Pittalis-290626401085795,307223
,PINI Giuditta,,PD,,305914
,PICCOLO Tiziana,,LEGA,,308061
,PIGNATONE Dedalo Cosimo Gaetano,,M5S,,307115
,PETTAZZI Lino,,LEGA,,307513
,PETTARIN Guido Germano,https://twitter.com/guidopettarin,FI,https://www.facebook.com/GuidoGermanoPettarinForzaItalia/,307136
http://WWW.PICCHI.INFO,PICCHI Guglielmo,https://WWW.TWITTER.COM/GUGLIELMOPICCHI,LEGA,https://www.facebook.com/guglielmo.picchi,301500
,PEZZOPANE Stefania,,PD,https://www.facebook.com/stefaniapezzopaneofficial/,306466
,PIASTRA Carlo,,LEGA,https://www.facebook.com/piastracarlo/,307310
http://www.matteoperego.com,PEREGO DI CREMNAGO Matteo,https://www.twitter.com/matteoperegodic,FI,https://www.facebook.com/matteperego,307643
,PERCONTI Filippo Giuseppe,,M5S,https://www.facebook.com/filippoperconti,307396
,PERANTONI Mario,,M5S,,307109
http://www.nicolapellicani.it,PELLICANI Nicola,https://twitter.com/ConPellicani,PD,https://www.facebook.com/nicola.pellicani.page/?ref=ts,307704
,PENTANGELO Antonio,,FI,https://www.facebook.com/antoniopentangelo,307183
,PELLA Roberto,,FI,,307496
http://www.aldopenna.it,PENNA Leonardo Salvatore,,M5S,,307112
